game_id,player_win,player_hand_value,dealer_hand_value,dealer_bust
0,0,26,22,1
1,0,29,19,0
2,0,23,19,0
3,0,27,18,0
4,1,16,24,1
5,0,25,20,0
6,0,30,17,0
7,0,14,17,0
8,0,23,20,0
9,0,23,26,1
10,0,14,18,0
11,0,23,23,1
12,0,28,17,0
13,0,27,23,1
14,0,28,20,0
15,0,23,20,0
16,1,16,23,1
17,0,25,17,0
18,0,15,18,0
19,1,15,23,1
20,0,31,19,0
21,0,15,21,0
22,0,25,17,0
23,0,25,19,0
24,0,30,22,1
25,0,26,20,0
26,0,25,20,0
27,1,15,25,1
28,0,24,25,1
29,0,27,24,1
30,0,26,20,0
31,0,25,22,1
32,0,28,22,1
33,0,27,23,1
34,0,30,26,1
35,0,24,19,0
36,0,28,20,0
37,0,28,17,0
38,0,22,20,0
39,0,22,26,1
40,0,23,23,1
41,0,26,20,0
42,0,24,20,0
43,0,14,17,0
44,0,22,20,0
45,0,15,18,0
46,0,28,20,0
47,0,22,26,1
48,0,26,21,0
49,0,29,18,0
