game_id,player_win,player_hand_value,dealer_hand_value,dealer_bust
0,0,23,22,1
1,0,25,22,1
2,0,14,18,0
3,0,28,17,0
4,0,23,20,0
5,0,26,21,0
6,0,29,17,0
7,0,28,25,1
8,0,26,17,0
9,0,24,22,1
10,0,30,20,0
11,0,14,19,0
12,0,24,22,1
13,0,27,17,0
14,0,22,17,0
15,0,16,17,0
16,0,30,19,0
17,0,22,19,0
18,0,26,20,0
19,0,16,20,0
20,0,25,18,0
21,0,25,19,0
22,0,24,18,0
23,0,22,18,0
24,0,30,17,0
25,0,26,20,0
26,0,26,20,0
27,0,26,26,1
28,0,24,20,0
29,0,22,18,0
30,0,31,19,0
31,0,24,22,1
32,0,24,20,0
33,0,22,18,0
34,0,31,21,0
35,0,15,20,0
36,0,23,20,0
37,0,24,21,0
38,0,14,20,0
39,0,27,20,0
40,0,30,19,0
41,0,27,17,0
42,0,30,23,1
43,0,23,22,1
44,0,15,19,0
45,0,25,19,0
46,0,15,17,0
47,0,29,24,1
48,0,24,24,1
49,0,30,26,1
50,0,24,19,0
51,0,25,22,1
52,0,27,19,0
53,0,24,18,0
54,0,22,22,1
55,0,28,25,1
56,0,30,25,1
57,0,23,19,0
58,0,28,19,0
59,0,24,25,1
60,0,22,19,0
61,0,24,23,1
62,0,23,24,1
63,0,30,17,0
64,0,15,20,0
65,0,16,17,0
66,0,26,21,0
67,0,25,20,0
68,0,22,20,0
69,0,25,25,1
70,0,29,18,0
71,0,15,19,0
72,0,16,18,0
73,0,14,18,0
74,0,27,17,0
75,0,14,18,0
76,0,23,22,1
77,0,16,17,0
78,0,25,20,0
79,0,23,19,0
80,0,22,24,1
81,0,27,18,0
82,0,24,18,0
83,0,31,19,0
84,0,24,23,1
85,0,31,20,0
86,0,15,17,0
87,0,28,20,0
88,0,26,17,0
89,0,28,18,0
90,0,24,18,0
91,0,16,17,0
92,0,15,20,0
93,1,14,24,1
94,0,26,20,0
95,0,16,21,0
96,1,15,24,1
97,0,29,23,1
98,0,27,23,1
99,0,29,22,1
100,0,26,17,0
101,1,15,23,1
102,0,24,18,0
103,1,16,25,1
104,0,26,19,0
105,0,27,23,1
106,1,14,25,1
107,0,24,20,0
108,0,24,20,0
109,0,15,21,0
110,0,16,19,0
111,0,26,19,0
112,0,31,17,0
