game_id,player_win,player_hand_value,dealer_hand_value,dealer_bust
0,0.0,23,21,0
2,0.0,23,18,0
3,0.0,27,17,0
4,0.0,22,23,1
5,0.0,15,19,0
6,0.0,31,5,0
7,0.0,24,17,0
8,0.0,24,12,0
9,0.0,26,16,0
11,1.0,15,24,1
12,0.0,23,12,0
13,0.0,23,19,0
14,0.0,25,18,0
15,0.0,27,13,0
17,1.0,20,11,0
18,0.0,27,20,0
19,0.0,29,24,1
20,0.0,22,16,0
21,0.0,28,17,0
22,0.0,16,18,0
23,0.0,15,18,0
24,0.0,26,18,0
25,0.0,16,20,0
26,0.0,22,18,0
28,0.0,27,17,0
29,0.0,16,17,0
30,0.0,15,18,0
32,1.0,17,13,0
33,0.0,15,21,0
35,0.0,23,14,0
36,0.0,16,18,0
37,0.0,22,20,0
38,0.0,28,8,0
39,0.0,16,20,0
41,0.5,15,15,0
43,0.0,15,17,0
46,0.0,28,12,0
47,0.0,27,19,0
48,0.0,24,17,0
49,0.0,22,16,0
