game_id,player_win,player_hand_value,dealer_hand_value,dealer_bust
0,0.0,25,16,0
1,0.0,30,8,0
2,0.0,22,17,0
3,0.0,18,21,0
4,0.0,15,20,0
5,0.0,24,20,0
6,0.0,16,18,0
7,0.0,25,13,0
8,0.0,22,16,0
9,0.0,22,21,0
10,1.0,16,14,0
11,0.0,14,20,0
12,0.0,15,19,0
13,0.0,30,8,0
14,0.0,26,14,0
15,0.0,26,19,0
16,0.0,24,20,0
17,0.0,14,18,0
18,1.0,19,15,0
19,0.0,22,19,0
20,0.0,29,12,0
21,0.0,27,16,0
22,0.0,15,17,0
23,0.0,26,13,0
24,1.0,21,13,0
25,0.0,25,4,0
26,0.0,15,20,0
27,0.0,22,19,0
28,0.0,30,19,0
29,0.0,24,13,0
30,0.0,15,20,0
31,0.0,16,18,0
32,0.0,31,15,0
33,0.0,31,9,0
34,0.0,26,5,0
35,0.0,18,20,0
36,0.0,27,19,0
37,0.0,28,12,0
38,0.0,25,25,1
39,0.0,24,12,0
40,0.0,14,19,0
41,0.0,22,14,0
42,0.0,24,17,0
43,0.0,22,14,0
44,0.0,30,16,0
45,0.0,27,13,0
46,0.0,22,19,0
47,0.0,16,19,0
48,0.0,28,22,1
49,1.0,18,9,0
50,0.0,27,12,0
51,0.0,24,25,1
52,0.0,27,7,0
53,0.0,30,13,0
54,0.0,24,13,0
55,0.0,14,19,0
56,0.0,14,20,0
57,0.0,25,17,0
58,0.0,30,10,0
59,0.0,24,26,1
60,0.0,27,12,0
61,0.0,16,19,0
62,0.0,28,8,0
63,0.0,27,21,0
64,0.0,29,14,0
65,1.0,18,12,0
66,0.0,27,20,0
67,1.0,12,10,0
68,0.0,23,26,1
69,0.0,15,18,0
70,0.0,23,12,0
71,0.0,27,13,0
72,0.0,26,20,0
73,0.0,23,8,0
74,0.0,25,13,0
75,0.0,15,21,0
76,0.0,22,17,0
77,0.0,23,12,0
78,0.0,26,10,0
79,0.0,22,16,0
80,0.0,24,16,0
81,0.0,22,12,0
82,0.0,29,11,0
83,0.0,29,14,0
84,1.0,14,7,0
85,0.0,25,16,0
86,0.0,30,18,0
87,1.0,20,12,0
88,0.0,22,17,0
89,0.0,26,9,0
90,0.0,22,18,0
91,0.0,14,20,0
92,0.5,16,16,0
93,0.0,28,12,0
94,0.0,22,16,0
95,0.0,23,20,0
96,1.0,21,20,0
97,0.0,28,7,0
98,0.0,14,18,0
99,0.0,25,16,0
100,0.0,30,13,0
101,0.0,22,19,0
102,1.0,17,13,0
103,0.0,29,19,0
104,0.0,22,16,0
105,0.0,25,17,0
106,0.0,28,17,0
107,0.5,15,15,0
108,0.0,28,19,0
109,0.0,23,18,0
110,0.0,29,14,0
111,0.0,31,19,0
112,0.0,23,19,0
113,0.0,16,18,0
114,0.0,26,20,0
115,0.0,27,19,0
116,1.0,21,15,0
117,0.0,30,16,0
118,0.0,29,21,0
119,0.0,23,14,0
120,0.0,27,11,0
121,0.0,23,14,0
122,0.0,25,15,0
123,0.0,16,18,0
124,0.0,24,19,0
125,0.0,23,18,0
126,0.0,28,18,0
127,0.0,25,17,0
128,0.0,28,15,0
129,0.0,28,12,0
130,0.0,27,16,0
131,0.0,22,17,0
132,0.0,23,14,0
133,0.0,28,16,0
134,0.0,12,18,0
135,0.0,25,20,0
136,0.0,25,14,0
137,0.0,28,16,0
138,0.0,14,17,0
139,0.5,20,20,0
140,0.0,27,20,0
141,0.0,15,19,0
142,0.0,22,21,0
143,0.0,26,14,0
144,1.0,12,10,0
145,0.0,22,16,0
146,0.0,28,12,0
147,0.0,26,22,1
148,0.0,25,19,0
149,1.0,19,12,0
150,0.0,14,20,0
151,0.0,14,16,0
152,0.0,27,20,0
153,0.0,29,16,0
154,0.0,23,12,0
155,0.0,31,16,0
156,0.0,22,18,0
157,0.0,28,13,0
158,0.0,26,17,0
159,0.0,30,18,0
160,0.0,28,20,0
161,1.0,15,23,1
162,0.0,14,16,0
163,1.0,16,14,0
164,0.0,15,18,0
165,0.0,25,20,0
166,0.0,27,20,0
167,0.0,15,21,0
168,0.0,25,24,1
169,0.0,15,19,0
170,0.0,28,21,0
171,0.0,17,20,0
172,0.0,14,21,0
173,0.0,23,19,0
174,0.0,16,18,0
175,0.0,27,18,0
176,0.0,29,6,0
177,0.0,15,19,0
178,0.0,28,9,0
179,0.0,22,21,0
180,0.0,28,17,0
181,0.0,16,17,0
182,0.0,24,20,0
183,0.0,26,16,0
184,0.0,14,18,0
185,1.0,20,14,0
186,0.0,25,20,0
187,0.0,16,19,0
188,0.0,16,21,0
189,1.0,21,14,0
190,0.0,15,19,0
191,0.0,30,13,0
192,0.0,17,20,0
193,0.0,24,8,0
194,0.0,29,17,0
195,0.0,22,26,1
196,0.0,16,18,0
197,0.0,22,17,0
198,0.0,26,14,0
199,0.0,19,20,0
200,1.0,20,14,0
201,0.0,25,13,0
202,0.0,26,25,1
203,0.0,22,16,0
204,0.0,22,20,0
205,0.0,27,14,0
206,0.0,30,18,0
207,0.0,28,17,0
208,1.0,14,22,1
209,0.0,22,21,0
210,0.0,24,13,0
211,1.0,15,22,1
212,0.0,26,17,0
213,0.0,25,20,0
214,0.0,23,7,0
215,0.0,27,20,0
216,0.0,22,13,0
217,1.0,13,11,0
218,0.0,25,20,0
219,1.0,21,19,0
220,0.0,15,21,0
221,0.0,29,13,0
222,0.0,16,18,0
223,0.0,24,12,0
224,0.0,26,10,0
225,1.0,16,22,1
226,0.5,14,14,0
227,0.0,30,5,0
228,0.0,27,22,1
229,0.0,27,16,0
230,1.0,14,25,1
231,0.0,15,19,0
232,0.0,28,20,0
233,0.0,30,9,0
234,0.0,24,20,0
235,0.0,30,9,0
236,0.0,23,17,0
237,0.0,25,21,0
238,0.0,26,12,0
239,1.0,20,17,0
240,0.0,27,18,0
241,0.0,28,20,0
242,1.0,21,16,0
243,0.0,28,10,0
244,0.0,26,8,0
245,0.0,22,17,0
246,0.0,30,13,0
247,1.0,14,10,0
248,0.0,15,19,0
249,0.0,28,13,0
250,0.0,16,18,0
251,0.0,16,20,0
252,0.0,15,21,0
253,0.0,14,18,0
254,0.0,13,20,0
255,0.0,22,17,0
256,0.0,23,17,0
257,0.0,14,19,0
258,0.0,26,15,0
259,0.0,15,20,0
260,0.0,23,18,0
261,0.0,30,20,0
262,0.0,24,15,0
263,0.0,16,20,0
264,0.0,29,14,0
265,0.0,25,23,1
266,0.0,24,14,0
267,0.0,27,6,0
268,0.0,29,13,0
269,0.0,22,16,0
270,0.0,22,21,0
271,0.0,23,17,0
272,0.0,23,20,0
273,0.0,15,18,0
274,0.0,14,21,0
275,0.0,23,15,0
276,0.0,28,21,0
277,0.0,25,19,0
278,0.0,14,17,0
279,0.0,24,12,0
280,0.0,24,11,0
281,1.0,19,15,0
282,0.0,23,19,0
283,0.0,22,21,0
284,1.0,20,16,0
285,0.0,14,20,0
286,0.0,22,20,0
287,0.0,25,12,0
288,0.0,16,20,0
289,0.0,26,20,0
290,0.0,14,17,0
291,0.0,29,18,0
292,0.0,16,20,0
293,0.0,14,18,0
294,0.0,22,20,0
295,0.0,27,12,0
296,1.0,20,16,0
297,0.0,23,22,1
298,1.0,16,14,0
299,0.0,22,12,0
300,0.0,18,20,0
301,0.0,22,13,0
302,0.0,15,18,0
303,0.0,27,15,0
304,0.0,23,25,1
305,0.0,30,16,0
306,0.0,16,17,0
307,0.0,31,8,0
308,0.0,22,18,0
309,0.0,26,23,1
310,0.0,31,11,0
311,1.0,20,16,0
312,1.0,19,14,0
313,0.0,14,20,0
314,0.0,14,20,0
315,0.0,23,17,0
316,0.0,28,14,0
317,0.0,22,18,0
318,1.0,19,17,0
319,0.0,14,15,0
320,0.0,30,10,0
321,0.0,26,22,1
322,0.0,16,18,0
323,0.0,31,16,0
324,0.0,14,20,0
325,0.0,30,16,0
326,1.0,20,9,0
327,0.0,22,13,0
328,0.0,13,14,0
329,0.0,22,10,0
330,1.0,21,13,0
331,1.0,16,23,1
332,0.0,15,19,0
333,0.0,24,12,0
334,0.0,30,16,0
335,0.0,27,20,0
336,0.0,23,23,1
337,0.0,24,21,0
338,0.0,25,26,1
339,0.0,25,26,1
340,0.0,31,18,0
341,1.0,16,25,1
342,0.0,23,20,0
343,1.0,21,20,0
344,0.0,25,19,0
345,0.0,19,20,0
346,0.0,28,18,0
347,0.0,26,18,0
348,1.0,19,14,0
349,0.0,22,21,0
350,0.0,30,15,0
351,0.0,27,15,0
352,0.0,23,17,0
353,1.0,20,12,0
354,0.0,31,11,0
355,0.0,14,17,0
356,0.0,14,17,0
357,0.0,30,20,0
358,0.0,25,25,1
359,0.0,15,20,0
360,0.0,25,16,0
361,0.0,31,18,0
362,1.0,18,6,0
363,0.0,23,11,0
364,0.0,23,20,0
365,0.0,15,20,0
366,0.0,24,11,0
367,0.0,22,12,0
368,0.0,22,20,0
369,0.0,29,16,0
370,0.0,14,21,0
371,0.0,23,21,0
372,0.0,14,19,0
373,0.0,28,11,0
374,0.0,24,22,1
375,0.0,26,20,0
376,0.0,30,11,0
377,0.0,23,22,1
378,0.0,28,13,0
379,0.0,28,13,0
380,0.0,15,17,0
381,0.0,23,17,0
382,0.0,25,26,1
383,1.0,21,20,0
384,0.0,30,20,0
385,0.0,28,9,0
386,0.0,27,18,0
387,0.0,24,21,0
388,0.0,22,18,0
389,0.0,27,11,0
390,0.0,23,13,0
391,0.0,22,19,0
392,0.0,14,17,0
393,0.0,29,12,0
394,0.0,26,19,0
395,0.0,29,19,0
396,1.0,14,12,0
397,0.0,27,11,0
398,0.0,16,20,0
399,1.0,16,23,1
400,0.0,23,24,1
401,0.0,28,21,0
402,0.0,29,9,0
403,1.0,21,20,0
404,1.0,16,22,1
405,0.0,30,21,0
406,0.0,14,17,0
407,0.0,22,17,0
408,0.0,26,24,1
409,0.0,30,20,0
410,0.0,16,19,0
411,0.0,23,17,0
412,0.0,22,18,0
413,0.0,27,20,0
414,0.0,24,20,0
415,0.0,26,20,0
416,1.0,21,8,0
417,0.0,27,21,0
418,1.0,16,22,1
419,1.0,19,15,0
420,0.0,16,21,0
421,1.0,14,22,1
422,0.0,25,19,0
423,0.0,26,14,0
424,0.0,14,19,0
425,0.0,27,19,0
426,0.0,24,20,0
427,0.5,16,16,0
428,1.0,20,17,0
429,0.0,26,15,0
430,0.0,29,8,0
431,0.0,14,20,0
432,0.0,15,20,0
433,0.0,22,10,0
434,0.0,22,22,1
435,0.0,15,21,0
436,0.0,25,21,0
437,0.0,25,21,0
438,0.5,19,19,0
439,0.0,23,19,0
440,0.0,26,17,0
441,0.0,31,14,0
442,0.0,27,21,0
443,0.0,25,19,0
444,0.0,16,18,0
445,0.0,23,25,1
446,0.0,24,16,0
447,0.0,16,20,0
448,0.0,16,19,0
449,0.0,31,16,0
450,0.0,16,20,0
451,1.0,21,12,0
452,0.0,15,21,0
453,0.0,22,17,0
454,0.0,27,7,0
455,1.0,15,14,0
456,0.0,15,17,0
457,0.0,15,20,0
458,0.0,24,16,0
459,0.0,22,21,0
460,0.0,27,20,0
461,0.0,14,16,0
462,0.0,26,21,0
463,0.0,15,19,0
464,1.0,21,13,0
465,0.0,18,19,0
466,0.0,24,7,0
467,0.0,22,25,1
468,0.0,22,17,0
469,0.0,31,17,0
470,0.0,22,21,0
471,0.0,27,19,0
472,0.0,28,17,0
473,0.0,22,15,0
474,0.0,16,18,0
475,0.0,29,14,0
476,0.0,27,13,0
477,0.0,26,5,0
478,0.0,22,20,0
479,0.0,23,18,0
480,0.0,16,20,0
481,1.0,21,8,0
482,1.0,15,14,0
