game_id,player_win,player_hand_value,dealer_hand_value,dealer_bust
0,0,24,17,0
1,0,26,19,0
2,0,15,21,0
3,0,30,20,0
4,0,27,20,0
5,0,29,20,0
6,1,15,23,1
7,0,27,20,0
8,0,23,19,0
9,0,16,18,0
10,0,22,22,1
11,0,27,19,0
12,0,23,25,1
13,0,27,17,0
14,0,24,24,1
15,0,27,21,0
16,0,27,20,0
17,0,28,22,1
18,0,23,20,0
19,0,26,20,0
20,0,26,25,1
21,0,27,19,0
22,0,22,20,0
23,0,31,19,0
24,0,25,26,1
25,0,25,17,0
26,0,15,17,0
27,0,22,19,0
28,0,22,18,0
29,0,24,21,0
30,0,25,19,0
31,0,28,19,0
32,0,28,20,0
33,0,30,20,0
34,0,23,19,0
35,0,28,17,0
36,0,14,19,0
37,0,15,18,0
38,0,23,18,0
39,0,26,24,1
40,0,24,25,1
41,0,27,20,0
42,0,23,17,0
43,0,30,26,1
44,0,26,20,0
45,0,14,21,0
46,0,24,20,0
47,0,23,17,0
48,0,28,23,1
49,1,16,22,1
