player_win,dealer_win,push,dealer_bust,player_hand_value,dealer_hand_value,player_hand,dealer_hand
0,1,0,0,18,20,"{'6': 1, '2': 1, '10': 1}","{'3': 1, '6': 1, 'ace': 1}"
1,0,0,1,18,23,"{'ace': 1, '5': 1, '2': 1}","{'king': 1, '5': 1, '8': 1}"
0,1,0,0,20,21,"{'9': 1, 'ace': 1}","{'king': 1, '2': 1, '9': 1}"
0,0,1,0,18,18,"{'5': 1, 'jack': 1, '3': 1}","{'10': 1, '3': 2, '2': 1}"
1,0,0,1,14,24,"{'4': 1, 'jack': 1}","{'4': 1, 'queen': 1, 'jack': 1}"
1,0,0,0,21,20,"{'ace': 1, '5': 1, '7': 1, '8': 1}","{'10': 1, 'king': 1}"
0,1,0,0,12,19,"{'king': 1, '2': 1}","{'6': 1, '3': 1, '10': 1}"
1,0,0,0,21,20,"{'2': 1, '9': 1, 'jack': 1}","{'9': 1, 'ace': 1}"
1,0,0,1,20,22,"{'jack': 1, 'queen': 1}","{'3': 1, 'jack': 1, '9': 1}"
1,0,0,1,20,26,"{'queen': 1, 'king': 1}","{'8': 2, '10': 1}"
1,0,0,1,20,24,{'queen': 2},"{'5': 1, '7': 1, 'ace': 2, '10': 1}"
0,1,0,0,23,21,"{'6': 1, '7': 1, 'jack': 1}","{'ace': 1, 'king': 1}"
0,0,1,0,19,19,"{'king': 1, '2': 2, '5': 1}","{'jack': 1, '2': 1, '7': 1}"
0,1,0,0,18,21,"{'7': 1, 'ace': 1}","{'10': 1, 'ace': 1}"
1,0,0,1,17,22,"{'6': 1, 'ace': 1}","{'2': 1, '5': 2, 'queen': 1}"
0,1,0,0,13,18,"{'4': 1, '9': 1}","{'5': 2, '8': 1}"
0,1,0,0,20,21,"{'queen': 1, '10': 1}","{'8': 1, '7': 1, '6': 1}"
1,0,0,1,18,25,"{'ace': 1, '7': 1}","{'6': 1, '9': 1, 'king': 1}"
0,1,0,0,24,17,"{'9': 1, '4': 1, 'ace': 1, 'queen': 1}","{'8': 1, '9': 1}"
0,1,0,0,24,20,"{'7': 2, 'king': 1}","{'king': 1, 'jack': 1}"
1,0,0,0,21,17,"{'king': 1, 'ace': 1}","{'4': 1, '7': 1, '6': 1}"
0,1,0,0,26,17,"{'6': 1, 'queen': 2}","{'7': 1, '10': 1}"
1,0,0,1,19,22,"{'6': 1, '2': 1, 'ace': 1}","{'2': 1, 'jack': 2}"
1,0,0,1,19,25,"{'9': 1, '10': 1}","{'2': 1, '10': 1, '3': 1, 'queen': 1}"
1,0,0,1,20,25,"{'queen': 1, 'king': 1}","{'ace': 1, '4': 1, 'queen': 1, 'king': 1}"
0,1,0,0,25,20,"{'4': 1, 'jack': 1, 'ace': 1, 'queen': 1}","{'jack': 1, '10': 1}"
1,0,0,1,19,24,"{'6': 1, 'queen': 1, '3': 1}","{'queen': 1, '4': 1, '10': 1}"
1,0,0,1,13,23,"{'8': 1, '5': 1}","{'6': 2, '4': 1, '7': 1}"
1,0,0,0,20,18,{'jack': 2},"{'10': 1, '4': 2}"
1,0,0,0,18,17,"{'8': 1, 'king': 1}","{'9': 1, '7': 1, 'ace': 1}"
0,1,0,0,23,20,"{'8': 1, '5': 1, 'queen': 1}","{'king': 1, '10': 1}"
0,1,0,0,25,21,"{'3': 1, '5': 1, '4': 2, '9': 1}","{'10': 1, 'ace': 1}"
1,0,0,0,21,19,"{'10': 1, 'ace': 1}","{'jack': 1, '9': 1}"
0,1,0,0,24,17,"{'queen': 1, '6': 1, '8': 1}","{'7': 1, 'jack': 1}"
1,0,0,1,19,24,"{'6': 1, '9': 1, '4': 1}","{'9': 1, '5': 1, 'king': 1}"
1,0,0,1,15,26,"{'5': 1, '4': 1, '6': 1}","{'6': 1, 'queen': 2}"
1,0,0,0,20,18,"{'queen': 1, '10': 1}","{'queen': 1, '4': 2}"
0,1,0,0,13,17,"{'7': 1, '6': 1}","{'4': 1, '8': 1, '5': 1}"
1,0,0,1,20,24,"{'10': 1, 'jack': 1}","{'9': 1, '5': 1, 'queen': 1}"
0,1,0,0,19,20,"{'3': 1, '6': 2, '4': 1}","{'ace': 1, '9': 1}"
0,1,0,0,15,18,"{'queen': 1, '5': 1}","{'2': 1, '10': 1, '6': 1}"
1,0,0,1,20,25,{'queen': 2},"{'2': 1, '5': 1, '7': 1, 'ace': 1, '10': 1}"
0,1,0,0,19,20,"{'9': 1, 'king': 1}","{'queen': 1, 'king': 1}"
1,0,0,1,19,25,"{'7': 1, '3': 1, '9': 1}","{'5': 1, '10': 1, 'king': 1}"
0,1,0,0,26,16,"{'9': 1, '7': 1, 'queen': 1}","{'king': 1, '6': 1}"
0,0,1,0,20,20,"{'queen': 1, 'jack': 1}","{'king': 1, '10': 1}"
1,0,0,0,20,18,"{'3': 1, '8': 1, '9': 1}",{'9': 2}
0,0,1,0,20,20,"{'jack': 1, 'queen': 1}","{'ace': 1, '9': 1}"
1,0,0,0,21,18,"{'3': 2, 'jack': 1, '5': 1}","{'king': 1, '8': 1}"
1,0,0,1,19,22,"{'4': 1, '10': 1, '5': 1}","{'queen': 1, '5': 1, 'ace': 1, '6': 1}"
1,0,0,0,19,17,"{'ace': 1, '8': 1}","{'7': 1, 'jack': 1}"
0,0,1,0,18,18,"{'6': 1, '9': 1, '3': 1}",{'9': 2}
1,0,0,0,20,17,"{'2': 1, 'queen': 1, '8': 1}","{'7': 1, '10': 1}"
0,1,0,0,17,20,"{'9': 1, '8': 1}","{'queen': 1, 'jack': 1}"
0,1,0,0,17,18,"{'7': 1, 'queen': 1}",{'9': 2}
1,0,0,1,18,25,"{'2': 1, '6': 1, 'jack': 1}","{'king': 1, '2': 1, '3': 1, '10': 1}"
1,0,0,1,21,23,"{'ace': 1, '10': 1}","{'3': 1, 'jack': 2}"
0,1,0,0,17,18,"{'7': 1, 'queen': 1}","{'10': 1, '8': 1}"
