game_id,player_win,player_hand_value,dealer_hand_value,dealer_bust
1,0.0,24,16,0
2,0.0,22,21,0
3,0.0,31,19,0
4,1.0,21,5,0
5,0.0,22,21,0
7,0.0,29,12,0
9,0.0,16,18,0
10,1.0,21,16,0
11,0.0,30,13,0
12,0.0,30,21,0
14,0.0,27,20,0
16,0.0,29,17,0
17,0.0,15,17,0
19,0.0,28,13,0
20,1.0,18,13,0
21,0.0,24,20,0
22,0.0,23,17,0
23,0.5,14,14,0
24,0.0,27,8,0
25,0.0,19,20,0
28,0.0,25,18,0
29,0.0,23,17,0
32,0.0,30,20,0
33,1.0,16,22,1
34,0.0,14,18,0
36,1.0,20,11,0
37,0.0,22,20,0
38,0.0,25,19,0
39,0.0,26,14,0
40,0.0,28,14,0
41,1.0,20,13,0
42,0.0,26,20,0
43,0.0,23,20,0
45,0.0,31,15,0
46,0.0,27,22,1
47,0.0,30,13,0
49,0.0,22,20,0
50,0.0,23,22,1
51,0.0,27,21,0
52,0.0,23,18,0
53,1.0,19,10,0
55,0.0,15,18,0
56,1.0,16,23,1
57,0.0,24,18,0
59,0.0,29,24,1
60,0.0,22,19,0
61,0.0,29,13,0
62,0.0,25,15,0
64,0.0,15,18,0
65,0.0,15,19,0
66,0.0,27,13,0
67,0.0,14,20,0
68,0.0,14,19,0
69,0.0,30,19,0
70,0.0,23,18,0
71,0.0,22,12,0
73,0.0,31,13,0
74,0.0,24,22,1
76,0.0,29,19,0
77,0.0,23,14,0
78,0.0,27,16,0
79,0.0,27,11,0
80,0.0,30,15,0
81,0.0,14,17,0
83,1.0,14,23,1
84,0.0,15,20,0
85,0.0,14,21,0
86,1.0,15,24,1
87,0.0,29,14,0
88,0.0,31,20,0
89,0.0,14,18,0
90,0.0,22,20,0
91,0.0,23,26,1
93,0.0,27,17,0
94,0.0,22,17,0
97,0.0,23,13,0
98,0.0,29,20,0
99,0.0,26,17,0
102,0.0,24,7,0
106,0.0,22,20,0
108,0.0,15,18,0
109,0.0,22,17,0
110,0.0,30,16,0
111,0.0,16,17,0
112,0.0,28,15,0
114,0.0,23,24,1
115,0.0,24,13,0
116,0.0,24,14,0
117,0.0,29,20,0
118,0.0,28,20,0
120,0.0,28,20,0
121,0.0,14,21,0
122,0.0,16,20,0
124,0.0,14,19,0
127,1.0,14,24,1
128,0.0,25,22,1
129,0.0,22,12,0
133,0.0,29,20,0
135,0.0,14,18,0
136,0.0,23,18,0
139,0.0,23,22,1
140,0.0,24,17,0
141,1.0,16,26,1
143,0.0,30,7,0
144,0.0,26,12,0
145,0.0,23,20,0
146,0.0,23,18,0
147,0.0,28,15,0
149,0.0,27,19,0
150,0.0,22,20,0
151,1.0,17,10,0
153,0.0,24,20,0
154,0.0,23,22,1
155,0.0,24,24,1
156,0.0,24,10,0
157,0.0,27,12,0
158,0.0,14,20,0
159,0.0,16,21,0
160,0.0,24,11,0
161,0.0,28,12,0
164,0.0,27,14,0
165,0.0,25,18,0
166,0.0,26,13,0
167,0.0,23,17,0
171,0.0,23,15,0
172,0.0,25,17,0
173,0.0,29,13,0
174,0.0,22,18,0
175,0.0,23,17,0
176,1.0,15,8,0
177,1.0,19,11,0
178,0.0,27,17,0
179,0.0,22,21,0
181,0.0,25,16,0
183,0.0,24,20,0
184,0.0,30,21,0
185,1.0,20,17,0
186,0.0,14,17,0
187,0.0,25,18,0
188,0.0,16,17,0
189,0.0,27,17,0
190,0.0,23,17,0
191,0.0,25,24,1
192,0.0,14,18,0
194,0.0,22,16,0
195,0.0,15,17,0
196,0.0,23,22,1
197,0.0,25,20,0
198,0.0,26,12,0
199,0.0,25,15,0
200,0.0,16,19,0
201,0.0,16,18,0
202,0.0,22,17,0
203,0.0,24,16,0
205,0.0,23,15,0
208,0.0,24,19,0
209,0.0,24,15,0
211,0.0,15,18,0
212,0.0,16,20,0
213,0.0,28,24,1
214,0.0,22,20,0
215,0.0,24,15,0
216,1.0,17,11,0
218,0.0,14,20,0
219,0.0,22,18,0
220,0.0,22,18,0
221,0.0,23,16,0
222,0.0,27,18,0
223,0.0,28,13,0
224,0.0,28,13,0
225,0.0,28,14,0
226,0.0,25,14,0
227,0.0,29,14,0
228,0.0,31,8,0
229,0.0,27,20,0
230,0.0,25,10,0
231,0.0,22,18,0
232,0.0,14,21,0
233,0.0,14,18,0
234,0.0,24,19,0
237,0.0,16,17,0
238,0.0,24,22,1
240,0.0,30,20,0
241,0.0,29,12,0
243,0.0,28,14,0
244,0.0,29,17,0
245,0.0,26,17,0
246,0.0,24,13,0
250,0.0,29,14,0
251,0.0,16,18,0
252,0.0,25,23,1
253,0.0,23,17,0
254,0.0,16,17,0
255,0.0,27,14,0
256,0.0,24,25,1
258,0.0,16,20,0
259,0.0,14,20,0
260,0.0,14,21,0
263,1.0,20,18,0
264,0.0,28,21,0
265,0.0,22,18,0
266,0.0,30,12,0
267,0.0,23,12,0
269,0.0,26,21,0
270,0.0,14,21,0
271,0.0,28,13,0
272,1.0,18,14,0
274,0.0,14,18,0
275,0.0,22,20,0
276,1.0,21,20,0
277,0.0,26,17,0
278,0.0,22,17,0
279,0.0,23,18,0
